TICKER,Month,VOL,RETC,RETN,sprtrn,SPREAD,OSC,CAPEI,bm,pe_op_basic,pe_exi,ps,pcf,dpr,npm,opmad,roa,roe,efftax,totdebt_invcap,capital_ratio,int_totdebt,cash_lt,invt_act,rect_act,debt_ebitda,short_debt,ocf_lct,cash_debt,fcf_ocf,de_ratio,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,ptb,PEG_trailing,divyield,b_mkt,alpha,ivol,tvol
MSFT,201010,12854487,0.088812,-0.046784,0.036856,0.03,0.103318957,14.685,0.233,12.519,12.698,3.651,9.477,0.242,0.3,0.387,0.325,0.436,0.25,0.116,0.097,0.026,0.921,0.013,0.234,0.223,0.168,0.921,0.603,0.918,0.865,159.98,1.407,2.101,2.129,245.14352,13.573,0.762,1.222,1.353,2.116,0.139,0.026,0,4.916,0.794,0.0195,1.2746,0.0118,0.081,0.0992
MSFT,201011,14174423,-0.046784,0.105018,-0.00229,0.01,0.089874295,13.946,0.226,10.657,10.887,3.286,8.26,0.22,0.313,0.407,0.353,0.46,0.25,0.139,0.108,0.022,0.97,0.014,0.193,0.242,0.227,1.005,0.603,0.919,0.882,169.563,1.505,2.105,2.134,250.2174,12.983,0.763,1.282,1.436,2.227,0.135,0.026,0,4.551,0.574,0.0253,1.2741,0.0114,0.081,0.0992
MSFT,201012,10367260,0.105018,-0.006628,0.0653,0.02,0.080974561,15.136,0.226,11.776,12.03,3.566,8.965,0.22,0.313,0.407,0.353,0.46,0.25,0.139,0.108,0.022,0.97,0.014,0.193,0.242,0.227,1.005,0.603,0.919,0.882,169.563,1.505,2.105,2.134,250.27648,12.983,0.763,1.282,1.436,2.227,0.135,0.026,0,4.939,0.634,0.0229,1.2753,0.0116,0.081,0.0994
MSFT,201101,13658100,-0.006628,-0.035528,0.022646,0.01,0.041298467,15.035,0.226,11.698,11.95,3.543,8.905,0.22,0.313,0.407,0.353,0.46,0.25,0.139,0.108,0.022,0.97,0.014,0.193,0.242,0.227,1.005,0.603,0.919,0.882,169.563,1.505,2.105,2.134,250.2294,12.983,0.763,1.282,1.436,2.227,0.135,0.026,0,4.906,0.63,0.0231,1.2984,0.0107,0.0805,0.0993
MSFT,201102,11176358,-0.035528,-0.044771,0.031957,0.01,0.065180587,14.073,0.21,11.121,11.311,3.349,8.801,0.231,0.308,0.396,0.338,0.445,0.25,0.15,0.13,0.024,0.966,0.015,0.195,0.277,0.132,0.988,0.603,0.912,0.895,137.417,1.576,2.201,2.233,259.1775217,13.311,0.752,1.239,1.424,2.105,0.134,0.026,0,4.529,1.032,0.0241,1.2927,0.0102,0.0807,0.0994
MSFT,201103,13148095,-0.044771,0.020874,-0.001047,0.02,0.055927531,13.489,0.21,10.623,10.804,3.21,8.435,0.231,0.308,0.396,0.338,0.445,0.25,0.15,0.13,0.024,0.966,0.015,0.195,0.277,0.132,0.988,0.603,0.912,0.895,137.417,1.576,2.201,2.233,260.6951739,13.311,0.752,1.239,1.424,2.105,0.134,0.026,0,4.341,0.986,0.0252,1.2907,0.0097,0.0806,0.0992
MSFT,201104,13175516,0.020874,-0.028935,0.028495,-0.01,0.062885802,13.773,0.21,10.845,11.03,3.278,8.613,0.231,0.308,0.396,0.338,0.445,0.25,0.15,0.13,0.024,0.966,0.015,0.195,0.277,0.132,0.988,0.603,0.912,0.895,137.417,1.576,2.201,2.233,260.706,13.311,0.752,1.239,1.424,2.105,0.134,0.026,0,4.433,1.006,0.0247,1.2953,0.0092,0.0805,0.0992
MSFT,201105,13677186,-0.028935,0.039584,-0.013501,0.01,0.076369452,12.95,0.255,9.808,9.925,3.074,7.912,0.228,0.318,0.392,0.335,0.459,0.25,0.165,0.157,0.025,0.987,0.016,0.189,0.321,0.052,1.062,0.603,0.907,0.895,113.109,1.717,2.365,2.403,269.814913,12.561,0.742,1.187,1.407,1.949,0.131,0.026,0,3.86,0.698,0.0256,1.2749,0.0087,0.0801,0.0981
MSFT,201106,13005667,0.039584,0.053846,-0.018258,0.01,0.088269231,13.372,0.255,10.196,10.317,3.174,8.17,0.228,0.318,0.392,0.335,0.459,0.25,0.165,0.157,0.025,0.987,0.016,0.189,0.321,0.052,1.062,0.603,0.907,0.895,113.109,1.717,2.365,2.403,268.8390435,12.561,0.742,1.187,1.407,1.949,0.131,0.026,0,3.986,0.726,0.0246,1.2738,0.0088,0.0801,0.0981
MSFT,201107,12628983,0.053846,-0.023358,-0.021474,0.01,0.075182482,14.096,0.255,10.745,10.873,3.346,8.612,0.228,0.318,0.392,0.335,0.459,0.25,0.165,0.157,0.025,0.987,0.016,0.189,0.321,0.052,1.062,0.603,0.907,0.895,113.109,1.717,2.365,2.403,268.5997391,12.561,0.742,1.187,1.407,1.949,0.131,0.026,0,4.202,0.765,0.0234,1.2638,0.0096,0.0799,0.0977
MSFT,201108,17248617,-0.023358,-0.064286,-0.056791,0,0.123684211,12.63,0.269,9.744,9.888,3.186,8.256,0.233,0.331,0.388,0.305,0.441,0.175,0.173,0.173,0.033,1.022,0.018,0.2,0.401,0,0.938,0.523,0.913,0.904,92.071,1.834,2.556,2.604,263.274125,12.348,0.718,1.014,1.225,1.516,0.129,0.027,0,3.807,0.669,0.0241,1.2661,0.0096,0.0799,0.0976
MSFT,201109,12834491,-0.064286,0.069908,-0.071762,0.01,0.093210125,11.863,0.269,9.117,9.253,2.993,7.754,0.233,0.331,0.388,0.305,0.441,0.175,0.173,0.173,0.033,1.022,0.018,0.2,0.401,0,0.938,0.523,0.913,0.904,92.071,1.834,2.556,2.604,263.3774583,12.348,0.718,1.014,1.225,1.516,0.129,0.027,0,3.576,0.626,0.0257,1.2741,0.0093,0.0797,0.0977
MSFT,201110,12223185,0.069908,-0.031919,0.107723,0.01,0.104393541,12.696,0.269,9.755,9.9,3.203,8.299,0.233,0.331,0.388,0.305,0.441,0.175,0.173,0.173,0.033,1.022,0.018,0.2,0.401,0,0.938,0.523,0.913,0.904,92.071,1.834,2.556,2.604,263.8579167,12.348,0.718,1.014,1.225,1.516,0.129,0.027,0,3.827,0.67,0.024,1.2572,0.009,0.0799,0.0978
MSFT,201111,10497537,-0.031919,0.014855,-0.005059,0.01,0.111806099,12.409,0.289,9.201,9.302,3.026,7.884,0.23,0.33,0.383,0.306,0.447,0.175,0.172,0.172,0.03,1.062,0.02,0.174,0.378,0,1.063,0.523,0.918,0.869,79.209,1.963,2.635,2.69,293.0024348,9.654,0.697,1.078,1.303,1.64,0.129,0.027,0,3.561,0.56,0.0313,1.2534,0.0087,0.0799,0.0976
MSFT,201112,10098074,0.014855,0.137519,0.008533,0.01,0.031587057,12.561,0.289,9.338,9.44,3.063,7.981,0.23,0.33,0.383,0.306,0.447,0.175,0.172,0.172,0.03,1.062,0.02,0.174,0.378,0,1.063,0.523,0.918,0.869,79.209,1.963,2.635,2.69,293.0551304,9.654,0.697,1.078,1.303,1.64,0.129,0.027,0,3.605,0.569,0.0308,1.2535,0.0087,0.0799,0.0975
MSFT,201201,13601072,0.137519,0.081612,0.043583,0.01,0.100406366,14.289,0.289,10.622,10.738,3.484,9.078,0.23,0.33,0.383,0.306,0.447,0.175,0.172,0.172,0.03,1.062,0.02,0.174,0.378,0,1.063,0.523,0.918,0.869,79.209,1.963,2.635,2.69,293.1561739,9.654,0.697,1.078,1.303,1.64,0.129,0.027,0,4.1,0.647,0.0271,1.2403,0.0081,0.0787,0.0962
MSFT,201202,9870347,0.081612,0.016226,0.040589,0.01,0.062381853,14.863,0.3,11.376,11.5,3.696,9.193,0.244,0.326,0.376,0.293,0.421,0.175,0.169,0.169,0.031,1.093,0.021,0.169,0.399,0,1.117,0.523,0.923,0.829,73.779,2.044,2.727,2.786,0.292,9.395,0.673,1.023,1.231,1.556,0.13,0.027,0,4.085,0.783,0.0252,1.2477,0.0083,0.0786,0.0963
MSFT,201203,9445449,0.016226,-0.007441,0.031332,0.01,0.040148814,15.121,0.3,11.561,11.687,3.76,9.353,0.244,0.326,0.376,0.293,0.421,0.175,0.169,0.169,0.031,1.093,0.021,0.169,0.399,0,1.117,0.523,0.923,0.829,73.779,2.044,2.727,2.786,0.292,9.395,0.673,1.023,1.231,1.556,0.13,0.027,0,4.155,0.796,0.0248,1.2471,0.0083,0.0786,0.0963
MSFT,201204,9337134,-0.007441,-0.081993,-0.007497,0.01,0.064813369,15.01,0.3,11.475,11.6,3.733,9.284,0.244,0.326,0.376,0.293,0.421,0.175,0.169,0.169,0.031,1.093,0.021,0.169,0.399,0,1.117,0.523,0.923,0.829,73.779,2.044,2.727,2.786,0.292,9.395,0.673,1.023,1.231,1.556,0.13,0.027,0,4.125,0.79,0.025,1.246,0.0086,0.0785,0.0961
MSFT,201205,10123951,-0.081993,0.047962,-0.062651,0.01,0.101062008,13.332,0.259,10.5,10.653,3.358,8.204,0.259,0.32,0.38,0.286,0.391,0.175,0.161,0.161,0.032,1.123,0.021,0.166,0.39,0,1.129,0.523,0.922,0.791,73.392,2.092,2.769,2.83,3.197,8.878,0.654,0.984,1.172,1.508,0.132,0.027,0,3.497,0.636,0.0274,1.2447,0.0084,0.0784,0.0961
MSFT,201206,9679085,0.047962,-0.036613,0.039555,0.01,0.081072246,13.939,0.259,11.004,11.164,3.51,8.577,0.259,0.32,0.38,0.286,0.391,0.175,0.161,0.161,0.032,1.123,0.021,0.166,0.39,0,1.129,0.523,0.922,0.791,73.392,2.092,2.769,2.83,3.197,8.878,0.654,0.984,1.172,1.508,0.132,0.027,0,3.656,0.667,0.0262,1.2419,0.0084,0.0784,0.096
MSFT,201207,8415185,-0.036613,0.052596,0.012598,0.01,0.072276892,13.432,0.259,10.601,10.755,3.383,8.265,0.259,0.32,0.38,0.286,0.391,0.175,0.161,0.161,0.032,1.123,0.021,0.166,0.39,0,1.129,0.523,0.922,0.791,73.392,2.092,2.769,2.83,3.197,8.878,0.654,0.984,1.172,1.508,0.132,0.027,0,3.524,0.643,0.0271,1.2406,0.0082,0.0785,0.096
MSFT,201208,6689457,0.052596,-0.034393,0.019763,0.01,0.055483452,14.175,0.266,11.167,15.41,3.505,8.17,0.396,0.23,0.379,0.267,0.268,0.238,0.155,0.139,0.032,1.148,0.013,0.185,0.389,0.103,0.968,0.576,0.927,0.827,73.568,1.929,2.568,2.603,3.729,11.775,0.641,0.956,1.111,1.407,0.133,0.022,0,3.785,1.441,0.026,1.2369,0.0078,0.0781,0.0956
MSFT,201209,8907887,-0.034393,-0.040995,0.024236,0.01,0.056787634,13.751,0.266,10.783,14.88,3.4,7.925,0.396,0.23,0.379,0.267,0.268,0.238,0.155,0.139,0.032,1.148,0.013,0.185,0.389,0.103,0.968,0.576,0.927,0.827,73.568,1.929,2.568,2.603,3.729,11.775,0.641,0.956,1.111,1.407,0.133,0.022,0,3.672,1.392,0.0269,1.2358,0.0073,0.0782,0.0956
MSFT,201210,11047390,-0.040995,-0.05939,-0.019789,0.01,0.075332866,13.178,0.266,10.341,14.27,3.258,7.595,0.396,0.23,0.379,0.267,0.268,0.238,0.155,0.139,0.032,1.148,0.013,0.185,0.389,0.103,0.968,0.576,0.927,0.827,73.568,1.929,2.568,2.603,3.729,11.775,0.641,0.956,1.111,1.407,0.133,0.022,0,3.519,1.335,0.028,1.2366,0.007,0.0782,0.0957
MSFT,201211,12895966,-0.05939,0.003558,0.002847,0.01,0.125459327,12.056,0.283,10.197,14.386,3.096,7.085,0.428,0.217,0.36,0.253,0.238,0.238,0.153,0.142,0.032,1.173,0.017,0.158,0.412,0.073,1.094,0.576,0.922,0.767,68.402,2.084,2.707,2.754,2.688,10.84,0.611,0.927,1.08,1.427,0.137,0.022,0,3.153,1.184,0.0346,1.2436,0.0064,0.0782,0.0958
MSFT,201212,9389131,0.003558,0.027717,0.007068,0.01,0.049045852,12.038,0.283,10.234,14.438,3.091,7.074,0.428,0.217,0.36,0.253,0.238,0.238,0.153,0.142,0.032,1.173,0.017,0.158,0.412,0.073,1.094,0.576,0.922,0.767,68.402,2.084,2.707,2.754,2.688,10.84,0.611,0.927,1.08,1.427,0.137,0.022,0,3.148,1.188,0.0344,1.2436,0.0063,0.0782,0.0955
MSFT,201301,11363418,0.027717,0.021129,0.050428,0.01,0.056466302,12.375,0.283,10.517,14.838,3.178,7.272,0.428,0.217,0.36,0.253,0.238,0.238,0.153,0.142,0.032,1.173,0.017,0.158,0.412,0.073,1.094,0.576,0.922,0.767,68.402,2.084,2.707,2.754,2.688,10.84,0.611,0.927,1.08,1.427,0.137,0.022,0,3.236,1.221,0.0335,1.2405,0.0059,0.0781,0.0954
MSFT,201302,7736797,0.021129,0.028957,0.011061,0.01,0.027410072,12.584,0.335,10.775,15.275,3.193,7.626,0.451,0.212,0.354,0.246,0.225,0.238,0.156,0.138,0.031,1.207,0.017,0.152,0.429,0.114,1,0.576,0.905,0.772,66.082,2.108,2.699,2.747,0.885,10.074,0.596,0.91,1.055,1.367,0.138,0.022,0,3.106,3.465,0.0331,1.2405,0.0058,0.0781,0.0954
MSFT,201303,8372531,0.028957,0.15714,0.035988,0.01,0.025694809,12.906,0.335,11.087,15.717,3.275,7.821,0.451,0.212,0.354,0.246,0.225,0.238,0.156,0.138,0.031,1.207,0.017,0.152,0.429,0.114,1,0.576,0.905,0.772,66.082,2.108,2.699,2.747,0.885,10.074,0.596,0.91,1.055,1.367,0.138,0.022,0,3.186,3.566,0.0322,1.2375,0.0058,0.0781,0.0953
MSFT,201304,14536561,0.15714,0.061329,0.018086,0.01,0.137160121,14.938,0.335,12.829,18.187,3.79,9.053,0.451,0.212,0.354,0.246,0.225,0.238,0.156,0.138,0.031,1.207,0.017,0.152,0.429,0.114,1,0.576,0.905,0.772,66.082,2.108,2.699,2.747,0.885,10.074,0.596,0.91,1.055,1.367,0.138,0.022,0,3.687,4.126,0.0278,1.241,0.0067,0.0783,0.0956
MSFT,201305,10663668,0.061329,-0.010172,0.020763,0,0.069340974,15.75,0.331,12.554,18.083,3.834,9.522,0.44,0.216,0.366,0.256,0.231,0.238,0.159,0.135,0.031,1.23,0.019,0.148,0.417,0.152,0.957,0.576,0.899,0.779,68.664,2.13,2.702,2.753,1.672,9.3,0.601,0.925,1.069,1.356,0.134,0.022,0,3.684,5.571,0.0264,1.2424,0.0064,0.0782,0.0955
MSFT,201306,9394212,-0.010172,-0.078304,-0.014999,0.01,0.069619337,15.547,0.331,12.426,17.899,3.785,9.4,0.44,0.216,0.366,0.256,0.231,0.238,0.159,0.135,0.031,1.23,0.019,0.148,0.417,0.152,0.957,0.576,0.899,0.779,68.664,2.13,2.702,2.753,1.672,9.3,0.601,0.925,1.069,1.356,0.134,0.022,0,3.636,5.514,0.0266,1.2357,0.0069,0.0778,0.095
MSFT,201307,11036007,-0.078304,0.056219,0.049462,0.01,0.153266332,14.333,0.331,11.453,16.497,3.489,8.666,0.44,0.216,0.366,0.256,0.231,0.238,0.159,0.135,0.031,1.23,0.019,0.148,0.417,0.152,0.957,0.576,0.899,0.779,68.664,2.13,2.702,2.753,1.672,9.3,0.601,0.925,1.069,1.356,0.134,0.022,0,3.353,5.082,0.0289,1.2209,0.0064,0.0784,0.0952
MSFT,201308,10443426,0.056219,-0.003593,-0.031298,0.01,0.100508982,14.594,0.28,12.37,12.946,3.574,9.649,0.352,0.281,0.353,0.234,0.294,0.192,0.17,0.138,0.034,1.213,0.019,0.172,0.506,0.192,0.771,0.454,0.852,0.804,59.261,2.058,2.66,2.712,14.007,10.998,0.59,0.85,0.986,1.215,0.134,0.033,0,3.45,1.235,0.0275,1.2179,0.0066,0.0786,0.0952
MSFT,201309,12366043,-0.003593,0.063852,0.029749,0.01,0.074759615,14.57,0.28,12.326,12.899,3.568,9.633,0.352,0.281,0.353,0.234,0.294,0.192,0.17,0.138,0.034,1.213,0.019,0.172,0.506,0.192,0.771,0.454,0.852,0.804,59.261,2.058,2.66,2.712,14.007,10.998,0.59,0.85,0.986,1.215,0.134,0.033,0,3.444,1.231,0.0276,1.2137,0.0062,0.0786,0.0952
MSFT,201310,9633022,0.063852,0.084875,0.044596,0.01,0.076825307,15.504,0.28,13.113,13.723,3.797,10.251,0.352,0.281,0.353,0.234,0.294,0.192,0.17,0.138,0.034,1.213,0.019,0.172,0.506,0.192,0.771,0.454,0.852,0.804,59.261,2.058,2.66,2.712,14.007,10.998,0.59,0.85,0.986,1.215,0.134,0.033,0,3.665,1.309,0.026,1.2135,0.0059,0.0784,0.0951
MSFT,201311,7965331,0.084875,-0.018883,0.028049,0.01,0.069630212,16.791,0.302,13.667,14.175,3.961,11.148,0.34,0.282,0.355,0.247,0.296,0.192,0.167,0.137,0.03,1.264,0.022,0.143,0.461,0.18,0.841,0.454,0.829,0.767,63.104,2.211,2.765,2.826,8.128,8.257,0.587,0.896,1.038,1.296,0.133,0.033,0,3.795,1.362,0.0294,1.2162,0.0061,0.0784,0.0951
MSFT,201312,8202590,-0.018883,0.011494,0.023563,0.01,0.071905908,16.379,0.302,13.409,13.907,3.863,10.874,0.34,0.282,0.355,0.247,0.296,0.192,0.167,0.137,0.03,1.264,0.022,0.143,0.461,0.18,0.841,0.454,0.829,0.767,63.104,2.211,2.765,2.826,8.128,8.257,0.587,0.896,1.038,1.296,0.133,0.033,0,3.702,1.337,0.0299,1.2157,0.0063,0.0782,0.095
MSFT,201401,9255796,0.011494,0.01982,-0.035583,0.01,0.075581395,16.569,0.302,13.563,14.067,3.908,11,0.34,0.282,0.355,0.247,0.296,0.192,0.167,0.137,0.03,1.264,0.022,0.143,0.461,0.18,0.841,0.454,0.829,0.767,63.104,2.211,2.765,2.826,8.128,8.257,0.587,0.896,1.038,1.296,0.133,0.033,0,3.745,1.352,0.0296,1.2121,0.0065,0.0783,0.095
MSFT,201402,7182660,0.01982,0.069956,0.043117,0.01,0.064996085,16.531,0.282,13.585,14.137,3.811,11.282,0.355,0.274,0.344,0.241,0.287,0.192,0.181,0.152,0.028,1.264,0.021,0.141,0.521,0.158,0.819,0.454,0.798,0.776,59.587,2.296,2.854,2.914,9.068,9.473,0.583,0.878,1.035,1.266,0.131,0.033,0,3.635,1.313,0.0292,1.2081,0.0065,0.0782,0.0949
MSFT,201403,7790153,0.069956,-0.014394,0.006932,0.01,0.080263479,17.6,0.282,14.535,15.125,4.058,12.012,0.355,0.274,0.344,0.241,0.287,0.192,0.181,0.152,0.028,1.264,0.021,0.141,0.521,0.158,0.819,0.454,0.798,0.776,59.587,2.296,2.854,2.914,9.068,9.473,0.583,0.878,1.035,1.266,0.131,0.033,0,3.87,1.405,0.0273,1.2054,0.0065,0.0782,0.0948
MSFT,201404,7461680,-0.014394,0.020297,0.006201,0.01,0.055445545,17.348,0.282,14.326,14.908,4,11.84,0.355,0.274,0.344,0.241,0.287,0.192,0.181,0.152,0.028,1.264,0.021,0.141,0.521,0.158,0.819,0.454,0.798,0.776,59.587,2.296,2.854,2.914,9.068,9.473,0.583,0.878,1.035,1.266,0.131,0.033,0,3.815,1.385,0.0277,1.2022,0.0066,0.0782,0.0946
MSFT,201405,5747041,0.020297,0.018564,0.02103,0.02,0.04592086,17.283,0.265,15.219,15.333,4.058,11.816,0.379,0.269,0.328,0.222,0.271,0.192,0.193,0.167,0.028,1.263,0.019,0.139,0.607,0.137,0.82,0.454,0.792,0.785,49.909,2.363,2.926,2.984,12.141,10.214,0.561,0.834,1.001,1.203,0.132,0.033,0,3.768,2.627,0.0274,1.2,0.0065,0.0781,0.0945
MSFT,201406,5566350,0.018564,0.035012,0.019058,0.01,0.047002398,17.558,0.265,15.502,15.618,4.122,12.004,0.379,0.269,0.328,0.222,0.271,0.192,0.193,0.167,0.028,1.263,0.019,0.139,0.607,0.137,0.82,0.454,0.792,0.785,49.909,2.363,2.926,2.984,12.141,10.214,0.561,0.834,1.001,1.203,0.132,0.033,0,3.828,2.676,0.0269,1.1989,0.0066,0.078,0.0944
MSFT,201407,7327822,0.035012,0.059082,-0.01508,0.01,0.074142725,18.175,0.265,16.045,16.165,4.267,12.426,0.379,0.269,0.328,0.222,0.271,0.192,0.193,0.167,0.028,1.263,0.019,0.139,0.607,0.137,0.82,0.454,0.792,0.785,49.909,2.363,2.926,2.984,12.141,10.214,0.561,0.834,1.001,1.203,0.132,0.033,0,3.963,2.77,0.0259,1.1928,0.0075,0.0774,0.0938
MSFT,201408,5139717,0.059082,0.020471,0.037655,0.02,0.059211974,18.203,0.269,16.888,17.274,4.33,11.614,0.42,0.255,0.318,0.202,0.255,0.207,0.205,0.187,0.032,1.038,0.023,0.171,0.713,0.088,0.706,0.39,0.83,0.92,44.577,1.879,2.446,2.504,16.542,9.869,0.549,0.783,0.963,1.26,0.132,0.027,0,4.046,9.801,0.0247,1.1953,0.0077,0.0774,0.0938
MSFT,201409,8609490,0.020471,0.012726,-0.015514,0.01,0.055220017,18.609,0.269,17.234,17.627,4.427,11.874,0.42,0.255,0.318,0.202,0.255,0.207,0.205,0.187,0.032,1.038,0.023,0.171,0.713,0.088,0.706,0.39,0.83,0.92,44.577,1.879,2.446,2.504,16.542,9.869,0.549,0.783,0.963,1.26,0.132,0.027,0,4.137,10.001,0.0242,1.1947,0.0075,0.0772,0.0937
MSFT,201410,8533427,0.012726,0.02492,0.023201,0.01,0.089669862,18.818,0.269,17.454,17.852,4.477,12.007,0.42,0.255,0.318,0.202,0.255,0.207,0.205,0.187,0.032,1.038,0.023,0.171,0.713,0.088,0.706,0.39,0.83,0.92,44.577,1.879,2.446,2.504,16.542,9.869,0.549,0.783,0.963,1.26,0.132,0.027,0,4.183,10.129,0.0239,1.1947,0.0076,0.0771,0.0936
MSFT,201411,5230103,0.02492,-0.028446,0.024534,0.01,0.045387994,19.392,0.243,17.577,18.749,4.325,12.171,0.434,0.235,0.309,0.217,0.242,0.207,0.213,0.186,0.028,1.161,0.021,0.14,0.68,0.125,0.82,0.39,0.829,0.849,43.991,2.198,2.743,2.802,6.673,10.529,0.559,0.842,1.034,1.281,0.128,0.027,0,4.243,7.526,0.0259,1.1947,0.0075,0.0771,0.0936
MSFT,201412,6287260,-0.028446,-0.130248,-0.004189,0.01,0.079224973,18.783,0.243,17.077,18.216,4.189,11.789,0.434,0.235,0.309,0.217,0.242,0.207,0.213,0.186,0.028,1.161,0.021,0.14,0.68,0.125,0.82,0.39,0.829,0.849,43.991,2.198,2.743,2.802,6.673,10.529,0.559,0.842,1.034,1.281,0.128,0.027,0,4.11,7.312,0.0267,1.1957,0.0074,0.0771,0.0937
